model,base_model,thinking_alias,mood_tag,n_model,n_human,count_model,count_human,prevalence_model,prevalence_human,diff_model_minus_human,diff_ci_low,diff_ci_high,p_fisher,q_fdr_global
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Sadness,571,591,100,32,0.17513134851138354,0.05414551607445008,0.12098583243693345,0.0848637441277105,0.1571079207461564,4.284347304967762e-11,1.0516125203102689e-10
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Wonder,571,591,19,37,0.03327495621716287,0.06260575296108291,-0.029330796743920036,-0.053782591274100996,-0.004879002213739072,0.02017829298355979,0.024486018451960193
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Transcendence,571,591,13,35,0.02276707530647986,0.05922165820642978,-0.03645458289994992,-0.059078451677170046,-0.013830714122729789,0.001813442566369615,0.002417923421826153
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Tenderness,571,591,61,37,0.10683012259194395,0.06260575296108291,0.04422436963086104,0.012233361773582106,0.07621537748813997,0.008064950895091804,0.010247231725528409
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Nostalgia,571,591,160,84,0.28021015761821366,0.14213197969543148,0.13807817792278218,0.09171521528880214,0.18444114055676222,6.941694925452576e-09,1.5300062284670983e-08
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Peacefulness,571,591,54,68,0.09457092819614711,0.11505922165820642,-0.020488293462059312,-0.05567263900042236,0.014696052076303735,0.2924133489087152,0.3255736255890849
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Power,571,591,277,108,0.4851138353765324,0.18274111675126903,0.3023727186252634,0.2508824275861999,0.3538630096643269,2.181553939480392e-28,1.0243818498429666e-27
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Joyful activation,571,591,209,86,0.3660245183887916,0.1455160744500846,0.22050844393870697,0.17183156065633823,0.2691853272210757,4.330849374599757e-18,1.612868042954392e-17
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Tension,571,591,246,56,0.4308231173380035,0.09475465313028765,0.33606846420771586,0.2890862800084666,0.3830506484069651,7.799021446739974e-41,6.479187048060902e-40
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,Sadness,571,591,85,32,0.14886164623467601,0.05414551607445008,0.09471613016022593,0.060287525859753284,0.12914473446069857,8.646492726870613e-08,1.8676424290040523e-07
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Wonder,571,591,19,37,0.03327495621716287,0.06260575296108291,-0.029330796743920036,-0.053782591274100996,-0.004879002213739072,0.02017829298355979,0.024486018451960193
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Transcendence,571,591,12,35,0.021015761821366025,0.05922165820642978,-0.038205896385063755,-0.060579379472133904,-0.01583241329799361,0.0009335184620554752,0.0012762024544555864
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Tenderness,571,591,66,37,0.11558669001751314,0.06260575296108291,0.05298093705643023,0.0202817900551773,0.08568008405768315,0.0018446115367998068,0.002429488365541209
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Nostalgia,571,591,137,84,0.23992994746059546,0.14213197969543148,0.09779796776516397,0.05285931257390273,0.14273662295642522,2.6265878250871537e-05,4.364176693990963e-05
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Peacefulness,571,591,59,68,0.10332749562171628,0.11505922165820642,-0.011731726036490142,-0.04758130413259461,0.024117852059614323,0.5728113664659702,0.6006177434788813
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Power,571,591,275,108,0.4816112084063047,0.18274111675126903,0.2988700916550357,0.24738741551567295,0.35035276779439845,7.783377348104045e-28,3.5025198066468205e-27
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Joyful activation,571,591,208,86,0.36427320490367776,0.1455160744500846,0.21875713045359316,0.1701128997486081,0.2674013611585782,7.302855581913166e-18,2.6290280094887397e-17
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Tension,571,591,226,56,0.3957968476357268,0.09475465313028765,0.3010421945054392,0.254496857534103,0.34758753147677535,1.9210081118443607e-34,1.1526048671066165e-33
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,Sadness,571,591,79,32,0.138353765323993,0.05414551607445008,0.0842082492495429,0.05051940539723845,0.11789709310184734,1.1746500676315045e-06,2.306585587349136e-06
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Wonder,571,591,252,37,0.4413309982486865,0.06260575296108291,0.3787252452876036,0.3335558465805173,0.4238946439946899,1.582314764847165e-54,1.7088999460349386e-53
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Transcendence,571,591,58,35,0.10157618213660245,0.05922165820642978,0.04235452393017267,0.01111150490256153,0.07359754295778381,0.00921677724157639,0.01144151657575
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Tenderness,571,591,123,37,0.21541155866900175,0.06260575296108291,0.15280580570791885,0.11383735658914076,0.19177425482669694,1.7587042087987034e-14,5.755759228795756e-14
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Nostalgia,571,591,168,84,0.29422066549912435,0.14213197969543148,0.15208868580369286,0.1052951105643765,0.1988822610430092,2.846075817340204e-10,6.682091049407435e-10
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Peacefulness,571,591,224,68,0.3922942206654991,0.11505922165820642,0.2772349990072927,0.2296349362947763,0.32483506171980914,2.0819171979603543e-28,1.0220320789987195e-27
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Power,571,591,104,108,0.18213660245183888,0.18274111675126903,-0.0006045142994301478,-0.04502273853931121,0.04381370994045092,1.0,1.0
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Joyful activation,571,591,117,86,0.20490367775831875,0.1455160744500846,0.059387603308234144,0.015749010665713374,0.1030261959507549,0.008552333561211444,0.010740139821056233
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Tension,571,591,94,56,0.1646234676007005,0.09475465313028765,0.06986881447041286,0.03136179426280738,0.10837583467801834,0.0004407768306257955,0.0006347186361011455
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,Sadness,571,591,81,32,0.14185639229422067,0.05414551607445008,0.08771087621977058,0.05377122176493345,0.12165053067460771,5.004406431449603e-07,1.0197658388614286e-06
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Wonder,571,591,188,37,0.329246935201401,0.06260575296108291,0.26664118224031813,0.22342925101088137,0.30985311346975486,1.8703151404914566e-32,1.0099701758653867e-31
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Transcendence,571,591,112,35,0.19614711033274956,0.05922165820642978,0.1369254521263198,0.09920336504449381,0.17464753920814577,1.0781396588573358e-12,3.064186398857691e-12
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Tenderness,571,591,143,37,0.2504378283712785,0.06260575296108291,0.1878320754101956,0.14728070876476193,0.22838344205562924,2.0166916859597712e-19,8.377027003217511e-19
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Nostalgia,571,591,204,84,0.3572679509632224,0.14213197969543148,0.2151359712677909,0.16678860732060347,0.26348333521497835,1.4344611589349436e-17,4.9974775859669e-17
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Peacefulness,571,591,185,68,0.3239929947460595,0.11505922165820642,0.2089337730878531,0.16272344700230312,0.2551440991734031,2.660029969239113e-18,1.0260115595636579e-17
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Power,571,591,120,108,0.21015761821366025,0.18274111675126903,0.02741650146239122,-0.01827314716587857,0.07310615009066102,0.26775676206592536,0.301226357324166
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Joyful activation,571,591,143,86,0.2504378283712785,0.1455160744500846,0.10492175392119388,0.059411522916730554,0.1504319849256572,8.77292919771242e-06,1.5281876666982922e-05
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Tension,571,591,105,56,0.18388791593695272,0.09475465313028765,0.08913326280666507,0.049545020892261996,0.12872150472106814,1.2972206417210497e-05,2.1890598329042716e-05
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,Sadness,571,591,57,32,0.09982486865148861,0.05414551607445008,0.04567935257703853,0.015061358716461058,0.076297346437616,0.003962794131104056,0.005095021025705215
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Wonder,571,591,116,37,0.2031523642732049,0.06260575296108291,0.14054661131212198,0.10219841240949362,0.17889481021475034,7.218923701186831e-13,2.1071452965626426e-12
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Transcendence,571,591,28,35,0.04903677758318739,0.05922165820642978,-0.010184880623242389,-0.03618271593587352,0.015812954689388745,0.5174209261765691,0.547857451245779
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Tenderness,571,591,67,37,0.11733800350262696,0.06260575296108291,0.054732250541544056,0.021895193259056665,0.08756930782403144,0.0013498679858062225,0.0018223217808384005
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Nostalgia,571,591,150,84,0.2626970227670753,0.14213197969543148,0.12056504307164381,0.07478658705293806,0.16634349909034957,3.8219973606749626e-07,8.093641469664627e-07
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Peacefulness,571,591,125,68,0.21891418563922943,0.11505922165820642,0.10385496398102301,0.06128442693398367,0.14642550102806234,2.0014438570377317e-06,3.7268264924150864e-06
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Power,571,591,92,108,0.16112084063047286,0.18274111675126903,-0.021620276120796172,-0.06498064148736335,0.021740089245771012,0.35128432965420564,0.3832192687136789
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Joyful activation,571,591,134,86,0.23467600700525393,0.1455160744500846,0.08915993255516932,0.04425357444791301,0.13406629066242565,0.00012706264120446173,0.00018544277364975495
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Tension,571,591,87,56,0.15236427320490367,0.09475465313028765,0.05760962007461602,0.019841152535389234,0.09537808761384281,0.003138022109216031,0.004083209491510017
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,Sadness,571,591,105,32,0.18388791593695272,0.05414551607445008,0.12974239986250263,0.09310134015012286,0.1663834595748824,3.2385104184504513e-12,8.68594849336988e-12
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Wonder,571,591,106,37,0.18563922942206654,0.06260575296108291,0.12303347646098363,0.08563603914598561,0.16043091377598165,1.1173116077809275e-10,2.681547858674226e-10
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Transcendence,571,591,40,35,0.07005253940455342,0.05922165820642978,0.010830881198123636,-0.01746116915219185,0.03912293154843913,0.47546426182132007,0.5084172304624016
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Tenderness,571,591,88,37,0.15411558669001751,0.06260575296108291,0.0915098337289346,0.056033934600135206,0.126985732857734,4.055545740484159e-07,8.423056537928639e-07
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Nostalgia,571,591,166,84,0.29071803852889666,0.14213197969543148,0.14858605883346518,0.10189711251386471,0.19527500515306564,6.448303773017391e-10,1.4817378882678261e-09
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Peacefulness,571,591,126,68,0.22066549912434325,0.11505922165820642,0.10560627746613682,0.06295825506754446,0.14825429986472918,1.409448276069501e-06,2.670533575710633e-06
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Power,571,591,118,108,0.20665499124343256,0.18274111675126903,0.023913874492163534,-0.021625131892574763,0.06945288087690182,0.3352455064910871,0.3694542316432388
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Joyful activation,571,591,138,86,0.24168126094570927,0.1455160744500846,0.09616518649562467,0.050984876390200946,0.1413454966010484,4.016889701740732e-05,6.379765996882339e-05
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Tension,571,591,102,56,0.1786339754816112,0.09475465313028765,0.08387932235132355,0.04457670778345572,0.12318193691919138,3.570084247493624e-05,5.754762667601663e-05
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,Sadness,571,591,107,32,0.18739054290718038,0.05414551607445008,0.1332450268327303,0.09640234554468083,0.17008770812077975,1.1268986771681054e-12,3.120642490619369e-12
